
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.57327 * 0.02752 / 0.02404 = 0.65627 (48) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.03311 / 0.03162 = 1.00000 (91) (A_count=2748)
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.91677 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2682)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.00000 / 0.00348 = 0.00000 (0) (A_count=132)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.03611 = 0.00000 (0) (A_count=21)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.34122 / 0.28214 = 0.14660 (101) (A_count=296)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00401 / 0.00343 = 0.67125 (7) (A_count=1744)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00338 / 0.00177 = 0.23139 (1) (A_count=296)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.36986 / 0.01258 = 1.00000 (27) (A_count=73)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00573 / 0.00479 = 0.68629 (10) (A_count=1744)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.01746 * 0.00000 / 0.00104 = 0.00000 (0) (A_count=44)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.00068 = 0.00000 (0) (A_count=296)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.00104 = 0.00000 (0) (A_count=20)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.01995 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.01701 = 0.00000 (0) (A_count=21)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00675 / 0.00517 = 0.20250 (7) (A_count=1037)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=302)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00109 / 0.00092 = 1.00000 (2) (A_count=1843)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00193 / 0.00030 = 1.00000 (2) (A_count=1037)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.42638 * 0.01232 / 0.00525 = 1.00000 (14) (A_count=1136)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00814 / 0.00688 = 1.00000 (15) (A_count=1843)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.46358 / 0.30672 = 0.17138 (140) (A_count=302)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00344 / 0.00385 = 0.51221 (6) (A_count=1744)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.00000 / 0.23160 = 0.00000 (0) (A_count=73)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.00000 / 0.00348 = 0.00000 (0) (A_count=132)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.00727 * 0.23810 / 0.07291 = 0.02376 (5) (A_count=21)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=20)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.00864 * 0.00000 / 0.00936 = 0.00000 (0) (A_count=20)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00521 = 0.00000 (0) (A_count=21)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00520 = 0.00000 (0) (A_count=20)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00182 / 0.00208 = 0.83599 (5) (A_count=2748)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.00036 / 0.00035 = 1.00000 (1) (A_count=2748)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=44)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00138 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.21907 / 0.20921 = 1.00000 (602) (A_count=2748)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.07432 / 0.07601 = 0.11854 (22) (A_count=296)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.01548 * 0.02500 / 0.00801 = 0.04828 (1) (A_count=40)
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.91677 * 0.00000 / 0.00252 = 0.00000 (0) (A_count=2682)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00073 / 0.00070 = 1.00000 (2) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00035 = 0.00000 (0) (A_count=132)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.28396 / 0.30800 = 0.70532 (648) (A_count=2282)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.02049 = 0.00000 (0) (A_count=21)
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.91677 * 0.24609 / 0.23695 = 0.95210 (660) (A_count=2682)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00000 / 0.00164 = 0.00000 (0) (A_count=1136)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.00073 / 0.00070 = 1.00000 (2) (A_count=2748)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.15000 / 0.03839 = 0.03378 (3) (A_count=20)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00046 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.01548 * 0.27500 / 0.05487 = 0.07757 (11) (A_count=40)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.00758 / 0.00208 = 0.16291 (1) (A_count=132)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00616 / 0.00361 = 0.72698 (7) (A_count=1136)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00046 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.00938 = 0.00000 (0) (A_count=21)
